amethyst        , trims/color_palettes/amethyst
copper          , trims/color_palettes/copper
copper_darker   , trims/color_palettes/copper_darker
diamond         , trims/color_palettes/diamond
diamond_darker  , trims/color_palettes/diamond_darker
emerald         , trims/color_palettes/emerald
gold            , trims/color_palettes/gold
gold_darker     , trims/color_palettes/gold_darker
iron            , trims/color_palettes/iron
iron_darker     , trims/color_palettes/iron_darker
lapis           , trims/color_palettes/lapis
netherite       , trims/color_palettes/netherite
netherite_darker, trims/color_palettes/netherite_darker
quartz          , trims/color_palettes/quartz
redstone        , trims/color_palettes/redstone
resin           , trims/color_palettes/resin
